row,field,original,cleaned,action
2,office_barangay_code,1400101001,1400101001,Auto-cleaned
2,location_owned,1,1,Auto-cleaned
2,no_of_male_employees,10,10,Auto-cleaned
2,no_of_female_employees,5,5,Auto-cleaned
2,no_of_employees_residing_within_the_area,8,8,Auto-cleaned
2,no_of_van,2,2,Auto-cleaned
2,no_of_truck,0,0,Auto-cleaned
2,no_of_motorcycle,2,2,Auto-cleaned
3,cellphone_no,9171234568,6399171234568,Auto-cleaned
3,incharge_sex,m,M,Auto-cleaned
3,office_barangay_code,1400101002,1400101002,Auto-cleaned
3,location_owned,0,0,Auto-cleaned
3,no_of_male_employees,2,2,Auto-cleaned
3,no_of_female_employees,1,1,Auto-cleaned
3,no_of_employees_residing_within_the_area,3,3,Auto-cleaned
3,no_of_van,0,0,Auto-cleaned
3,no_of_truck,0,0,Auto-cleaned
3,no_of_motorcycle,1,1,Auto-cleaned
4,office_barangay_code,1400101003,1400101003,Auto-cleaned
4,location_owned,1,1,Auto-cleaned
4,no_of_male_employees,-5,-5,Auto-cleaned
4,no_of_female_employees,0,0,Auto-cleaned
4,no_of_employees_residing_within_the_area,0,0,Auto-cleaned
4,no_of_van,0,0,Auto-cleaned
4,no_of_truck,0,0,Auto-cleaned
4,no_of_motorcycle,0,0,Auto-cleaned
5,office_barangay_code,1400101004,1400101004,Auto-cleaned
5,location_owned,1,1,Auto-cleaned
5,no_of_male_employees,15,15,Auto-cleaned
5,no_of_female_employees,20,20,Auto-cleaned
5,no_of_employees_residing_within_the_area,30,30,Auto-cleaned
5,no_of_van,3,3,Auto-cleaned
5,no_of_truck,1,1,Auto-cleaned
5,no_of_motorcycle,0,0,Auto-cleaned
