sheet,row,field,original,cleaned,action
BPLS-Business,2,cellphone_no,9169732612,639916973261,Auto-cleaned
BPLS-Business,2,office_barangay_code,201529011,201529011,Auto-cleaned
BPLS-Business,2,location_owned,0,0,Auto-cleaned
BPLS-Business,2,no_of_male_employees,1,1,Auto-cleaned
BPLS-Business,2,no_of_female_employees,0,0,Auto-cleaned
BPLS-Business,2,no_of_employees_residing_within_the_area,1,1,Auto-cleaned
BPLS-Business,2,no_of_van,0,0,Auto-cleaned
BPLS-Business,2,no_of_truck,0,0,Auto-cleaned
BPLS-Business,2,no_of_motorcycle,0,0,Auto-cleaned
BPLS-Business,3,cellphone_no,9169732612,639916973261,Auto-cleaned
BPLS-Business,3,office_barangay_code,201529011,201529011,Auto-cleaned
BPLS-Business,3,location_owned,0,0,Auto-cleaned
BPLS-Business,3,no_of_male_employees,1,1,Auto-cleaned
BPLS-Business,3,no_of_female_employees,0,0,Auto-cleaned
BPLS-Business,3,no_of_employees_residing_within_the_area,1,1,Auto-cleaned
BPLS-Business,3,no_of_van,0,0,Auto-cleaned
BPLS-Business,3,no_of_truck,0,0,Auto-cleaned
BPLS-Business,3,no_of_motorcycle,0,0,Auto-cleaned
